City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,lappeenranta,61.0587,28.1887,260.18,85,0,2.57,FI,1677462700
224,caravelas,-17.7125,-39.2481,297.61,89,0,1.68,BR,1677462700
225,pitimbu,-7.4706,-34.8086,300.48,72,43,4.11,BR,1677462701
226,egvekinot,66.3167,-179.1667,252.02,97,100,2.33,RU,1677462701
227,playa vicente,17.8333,-95.8167,296.91,65,0,2.44,MX,1677462701
228,peniche,39.3558,-9.3811,285.13,87,0,5.69,PT,1677462702
229,raga,8.4596,25.678,298.05,20,100,2.08,SS,1677462702
230,valdivia,-39.8142,-73.2459,284.71,78,6,1.33,CL,1677462702
231,vilyuysk,63.7553,121.6247,241.31,93,100,2.44,RU,1677462703
232,sabang,5.8933,95.3214,301.3,73,85,10.7,ID,1677462703
233,kavieng,-2.5744,150.7967,300.74,79,100,3.24,PG,1677462703
234,vostok,46.4856,135.8833,271.38,70,10,3.75,RU,1677462704
235,sukumo,32.9333,132.7333,284.83,45,0,1.13,JP,1677462704
236,hargeysa,9.56,44.065,289.67,90,81,3.99,SO,1677462704
237,anadyr,64.75,177.4833,247.59,75,0,6.0,RU,1677462704
238,sandnessjoen,66.0217,12.6316,277.44,97,65,2.68,NO,1677462705
239,wagar,16.1525,36.2032,295.11,68,0,5.72,SD,1677462705
240,meulaboh,4.1363,96.1285,298.28,82,96,1.73,ID,1677462705
241,berezovyy,51.6667,135.7,268.08,77,100,0.9,RU,1677462706
242,sakaiminato,35.55,133.2333,279.11,70,20,2.06,JP,1677462706
243,komsomolskoye,55.2567,47.5461,273.5,89,100,7.01,RU,1677462706
244,muros,42.7762,-9.0603,279.73,61,0,7.45,ES,1677462707
245,mae ramat,16.984,98.5166,295.33,38,34,1.49,TH,1677462707
246,shiyan,32.6475,110.7781,283.93,60,1,1.63,CN,1677462707
247,bhawanigarh,30.2667,76.035,289.09,39,0,1.24,IN,1677462708
248,sakyla,61.0333,22.3333,263.61,96,88,1.85,FI,1677462708
249,torbay,47.6666,-52.7314,259.68,67,40,5.66,CA,1677462708
250,provideniya,64.3833,-173.3,254.46,71,0,3.13,RU,1677462709
251,kincardine,56.0667,-3.7167,276.25,90,6,0.7,GB,1677462709
252,alabat,14.1028,122.0153,298.5,82,60,11.76,PH,1677462709
253,iracoubo,5.4802,-53.2011,297.16,93,100,4.83,GF,1677462710
254,pimenta bueno,-11.6725,-61.1936,296.32,96,75,1.25,BR,1677462710
255,palmer,42.1584,-72.3287,274.54,61,0,4.63,US,1677462710
256,talara,-4.5772,-81.2719,299.57,69,75,5.14,PE,1677462710
257,luganville,-15.5333,167.1667,302.99,75,100,5.37,VU,1677462711
258,deputatskiy,69.3,139.9,246.78,95,100,1.67,RU,1677462711
259,beroroha,-21.6667,45.1667,295.97,85,88,1.42,MG,1677462711
260,brae,60.3964,-1.353,280.14,83,86,4.55,GB,1677462712
261,uhlove,44.8215,33.6045,285.25,50,100,4.19,UA,1677462712
262,westport,41.1415,-73.3579,276.58,82,0,4.12,US,1677462513
263,marakkanam,12.2,79.95,295.03,76,5,3.25,IN,1677462712
264,victoria,22.2855,114.1577,290.35,56,4,3.58,HK,1677462659
265,lavrentiya,65.5833,-171.0,248.57,88,33,1.97,RU,1677462713
266,hauterive,46.0901,3.4459,273.57,62,100,6.01,FR,1677462713
267,mana,5.6592,-53.7767,297.21,92,99,3.99,GF,1677462713
268,clyde river,70.4692,-68.5914,241.28,68,100,2.57,CA,1677462714
269,chinhoyi,-17.3667,30.2,290.2,91,63,1.69,ZW,1677462714
270,ekhabi,53.5102,142.9671,265.51,87,100,8.57,RU,1677462714
271,linhares,-19.3911,-40.0722,295.68,95,5,0.65,BR,1677462715
272,great yarmouth,52.6083,1.7305,278.16,75,7,5.83,GB,1677462715
273,haines junction,60.7522,-137.5108,262.12,52,89,4.63,CA,1677462715
274,khakhea,-24.6895,23.494,296.27,58,19,4.77,BW,1677462716
275,koumac,-20.5667,164.2833,300.65,77,60,6.54,NC,1677462716
276,esperance,-33.8667,121.9,294.91,62,100,4.18,AU,1677462716
277,zacualpan,21.25,-105.1667,300.94,72,5,1.25,MX,1677462717
278,matai,-8.3,31.5167,291.84,92,100,1.18,TZ,1677462718
279,ichinoseki,38.9167,141.1333,278.4,48,13,4.18,JP,1677462718
280,marfino,55.7028,37.3822,270.1,80,75,9.0,RU,1677462718
281,sabha,27.0377,14.4283,291.33,23,14,3.64,LY,1677462719
282,damavand,35.7178,52.065,273.47,53,0,3.02,IR,1677462719
283,kodiak,57.79,-152.4072,274.88,48,0,7.2,US,1677462719
284,ust-kuyga,70.0167,135.6,240.15,94,55,1.06,RU,1677462720
285,springdale,36.1867,-94.1288,289.0,94,40,7.72,US,1677462463
286,elbistan,38.2059,37.1983,274.25,87,3,0.53,TR,1677462720
287,tecoanapa,16.5167,-98.75,299.01,74,0,2.9,MX,1677462720
288,escarcega,18.6089,-90.7454,298.57,51,0,2.01,MX,1677462721
289,narsaq,60.9167,-46.05,276.27,83,100,0.45,GL,1677462721
290,gondanglegi,-7.7479,112.0132,297.58,89,100,3.69,ID,1677462722
291,nikolayevsk-na-amure,53.1406,140.73,266.61,79,77,3.45,RU,1677462722
292,rodrigues alves,-7.738,-72.6509,296.41,98,100,1.43,BR,1677462722
293,hovd,48.0056,91.6419,260.88,58,3,2.47,MN,1677462723
294,bingol,38.8847,40.4939,270.48,84,6,2.56,TR,1677462723
295,alihe,50.5667,123.7167,269.33,79,100,1.31,CN,1677462723
296,trincomalee,8.5711,81.2335,299.29,73,92,6.65,LK,1677462724
297,praya,14.9215,-23.5087,293.45,68,75,7.2,CV,1677462724
298,yeppoon,-23.1333,150.7333,304.03,62,100,5.97,AU,1677462724
299,te anau,-45.4167,167.7167,294.25,51,19,1.14,NZ,1677462725
300,biak,-0.9131,122.8766,301.0,69,100,0.98,ID,1677462725
301,nishihara,26.1842,127.7558,290.75,65,75,8.75,JP,1677462725
302,alpena,45.0617,-83.4327,268.33,73,0,2.06,US,1677462726
303,pionerskiy,54.9508,20.2275,272.06,68,92,5.01,RU,1677462726
304,kaitangata,-46.2817,169.8464,291.62,61,66,3.53,NZ,1677462726
305,kavaratti,10.5669,72.642,300.41,71,84,3.05,IN,1677462727
306,muisne,0.6,-80.0333,297.26,87,94,1.8,EC,1677462727
307,takoradi,4.8845,-1.7554,300.31,85,100,4.14,GH,1677462727
308,iskateley,67.6803,53.1512,249.39,100,97,1.84,RU,1677462728
309,bacolod,10.6667,122.95,300.29,79,60,8.11,PH,1677462728
310,bardiyah,31.7561,25.0865,289.57,45,98,8.24,LY,1677462728
311,cidreira,-30.1811,-50.2056,296.63,80,40,3.24,BR,1677462729
312,vanimo,-2.6741,141.3028,300.05,86,100,1.77,PG,1677462729
313,bambous virieux,-20.3428,57.7575,297.16,94,20,1.54,MU,1677462729
314,pidhorodne,48.5753,35.1068,276.2,95,100,3.38,UA,1677462730
315,richards bay,-28.783,32.0377,294.89,90,83,0.81,ZA,1677462730
316,hambantota,6.1241,81.1185,297.29,65,87,4.14,LK,1677462730
317,nizwa,22.9333,57.5333,293.14,38,3,0.69,OM,1677462731
318,ambo,-10.1308,-76.2047,290.13,93,100,1.93,PE,1677462731
319,hampton,37.0299,-76.3452,282.05,91,0,4.12,US,1677462661
320,havelock,34.8791,-76.9013,287.14,92,75,2.06,US,1677462732
321,newcastle,-32.9272,151.7765,303.42,72,20,6.17,AU,1677462732
322,santa cruz de tenerife,28.4682,-16.2546,292.75,87,0,5.14,ES,1677462521
323,touros,-5.1989,-35.4608,299.56,80,64,5.42,BR,1677462732
324,cherskiy,68.75,161.3,246.56,87,5,2.11,RU,1677462733
325,funtua,11.5233,7.3081,296.06,13,96,3.54,NG,1677462733
326,portsmouth,50.799,-1.0913,275.91,80,0,2.24,GB,1677462733
327,bembereke,10.2283,2.6634,299.88,58,100,2.93,BJ,1677462734
328,marawi,7.9986,124.2928,299.62,64,58,2.11,PH,1677462734
329,kirensk,57.7853,108.1119,262.29,89,100,3.84,RU,1677462734
330,la suiza,9.8524,-83.6133,293.23,99,100,0.73,CR,1677462735
